"SRR" "source" "donor" "BAM" "keep" "stub" "name"
"SRR2775857" "SRR2775857" "LSC" "SU070" "SRR2775857.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_88"
"SRR2775858" "SRR2775858" "LSC" "SU070" "SRR2775858.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_89"
"SRR2775860" "SRR2775860" "LSC" "SU070" "SRR2775860.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_90"
"SRR2775861" "SRR2775861" "LSC" "SU070" "SRR2775861.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_91"
"SRR2775863" "SRR2775863" "LSC" "SU070" "SRR2775863.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_92"
"SRR2775864" "SRR2775864" "LSC" "SU070" "SRR2775864.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_93"
"SRR2775866" "SRR2775866" "LSC" "SU070" "SRR2775866.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_94"
"SRR2775867" "SRR2775867" "LSC" "SU070" "SRR2775867.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_95"
"SRR2775869" "SRR2775869" "LSC" "SU070" "SRR2775869.merged.rCRS.bam" TRUE "SU070_LSC" "SU070_LSC_96"
"SRR3985831" "SRR3985831" "Blast" "SU353" "SRR3985831.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_1"
"SRR3985832" "SRR3985832" "Blast" "SU353" "SRR3985832.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_2"
"SRR3985833" "SRR3985833" "Blast" "SU353" "SRR3985833.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_3"
"SRR3985834" "SRR3985834" "Blast" "SU353" "SRR3985834.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_4"
"SRR3985835" "SRR3985835" "Blast" "SU353" "SRR3985835.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_5"
"SRR3985836" "SRR3985836" "Blast" "SU353" "SRR3985836.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_6"
