"","name","subect","celltype","cell","BAM","depth"
"BM1077_LMPP_79.hg19","BM1077_LMPP_79.hg19","BM1077","LMPP","79.hg19","BAMs/BM1077_LMPP_79.hg19_rCRSchrm.bam",49297
"BM1077_LMPP_81.hg19","BM1077_LMPP_81.hg19","BM1077","LMPP","81.hg19","BAMs/BM1077_LMPP_81.hg19_rCRSchrm.bam",24046
"BM1077_LMPP_83.hg19","BM1077_LMPP_83.hg19","BM1077","LMPP","83.hg19","BAMs/BM1077_LMPP_83.hg19_rCRSchrm.bam",19421
"BM1077_LMPP_84.hg19","BM1077_LMPP_84.hg19","BM1077","LMPP","84.hg19","BAMs/BM1077_LMPP_84.hg19_rCRSchrm.bam",45372
"BM1077_LMPP_85.hg19","BM1077_LMPP_85.hg19","BM1077","LMPP","85.hg19","BAMs/BM1077_LMPP_85.hg19_rCRSchrm.bam",26765
"BM1077_LMPP_86.hg19","BM1077_LMPP_86.hg19","BM1077","LMPP","86.hg19","BAMs/BM1077_LMPP_86.hg19_rCRSchrm.bam",17869
"BM1077_LMPP_87.hg19","BM1077_LMPP_87.hg19","BM1077","LMPP","87.hg19","BAMs/BM1077_LMPP_87.hg19_rCRSchrm.bam",28479
"BM1077_LMPP_91.hg19","BM1077_LMPP_91.hg19","BM1077","LMPP","91.hg19","BAMs/BM1077_LMPP_91.hg19_rCRSchrm.bam",18302
"BM1077_LMPP_96.hg19","BM1077_LMPP_96.hg19","BM1077","LMPP","96.hg19","BAMs/BM1077_LMPP_96.hg19_rCRSchrm.bam",27331
"BM1077_LMPP_9.hg19","BM1077_LMPP_9.hg19","BM1077","LMPP","9.hg19","BAMs/BM1077_LMPP_9.hg19_rCRSchrm.bam",12482
"PB1022_Monocyte_10.hg19","PB1022_Monocyte_10.hg19","PB1022","Monocyte","10.hg19","BAMs/PB1022_Monocyte_10.hg19_rCRSchrm.bam",6797
"PB1022_Monocyte_11.hg19","PB1022_Monocyte_11.hg19","PB1022","Monocyte","11.hg19","BAMs/PB1022_Monocyte_11.hg19_rCRSchrm.bam",10150
"PB1022_Monocyte_12.hg19","PB1022_Monocyte_12.hg19","PB1022","Monocyte","12.hg19","BAMs/PB1022_Monocyte_12.hg19_rCRSchrm.bam",48372
"PB1022_Monocyte_13.hg19","PB1022_Monocyte_13.hg19","PB1022","Monocyte","13.hg19","BAMs/PB1022_Monocyte_13.hg19_rCRSchrm.bam",28712
"PB1022_Monocyte_14.hg19","PB1022_Monocyte_14.hg19","PB1022","Monocyte","14.hg19","BAMs/PB1022_Monocyte_14.hg19_rCRSchrm.bam",32885
"PB1022_Monocyte_15.hg19","PB1022_Monocyte_15.hg19","PB1022","Monocyte","15.hg19","BAMs/PB1022_Monocyte_15.hg19_rCRSchrm.bam",19084
"PB1022_Monocyte_16.hg19","PB1022_Monocyte_16.hg19","PB1022","Monocyte","16.hg19","BAMs/PB1022_Monocyte_16.hg19_rCRSchrm.bam",102408
"PB1022_Monocyte_18.hg19","PB1022_Monocyte_18.hg19","PB1022","Monocyte","18.hg19","BAMs/PB1022_Monocyte_18.hg19_rCRSchrm.bam",34116
"PB1022_Monocyte_1.hg19","PB1022_Monocyte_1.hg19","PB1022","Monocyte","1.hg19","BAMs/PB1022_Monocyte_1.hg19_rCRSchrm.bam",259175
"PB1022_Monocyte_20.hg19","PB1022_Monocyte_20.hg19","PB1022","Monocyte","20.hg19","BAMs/PB1022_Monocyte_20.hg19_rCRSchrm.bam",21912
"PB1022_Monocyte_22.hg19","PB1022_Monocyte_22.hg19","PB1022","Monocyte","22.hg19","BAMs/PB1022_Monocyte_22.hg19_rCRSchrm.bam",11310
"PB1022_Monocyte_24.hg19","PB1022_Monocyte_24.hg19","PB1022","Monocyte","24.hg19","BAMs/PB1022_Monocyte_24.hg19_rCRSchrm.bam",13829
"PB1022_Monocyte_25.hg19","PB1022_Monocyte_25.hg19","PB1022","Monocyte","25.hg19","BAMs/PB1022_Monocyte_25.hg19_rCRSchrm.bam",34773
"PB1022_Monocyte_26.hg19","PB1022_Monocyte_26.hg19","PB1022","Monocyte","26.hg19","BAMs/PB1022_Monocyte_26.hg19_rCRSchrm.bam",82327
"PB1022_Monocyte_28.hg19","PB1022_Monocyte_28.hg19","PB1022","Monocyte","28.hg19","BAMs/PB1022_Monocyte_28.hg19_rCRSchrm.bam",17741
"PB1022_Monocyte_2.hg19","PB1022_Monocyte_2.hg19","PB1022","Monocyte","2.hg19","BAMs/PB1022_Monocyte_2.hg19_rCRSchrm.bam",43960
"PB1022_Monocyte_31.hg19","PB1022_Monocyte_31.hg19","PB1022","Monocyte","31.hg19","BAMs/PB1022_Monocyte_31.hg19_rCRSchrm.bam",102511
"PB1022_Monocyte_32.hg19","PB1022_Monocyte_32.hg19","PB1022","Monocyte","32.hg19","BAMs/PB1022_Monocyte_32.hg19_rCRSchrm.bam",71492
"PB1022_Monocyte_33.hg19","PB1022_Monocyte_33.hg19","PB1022","Monocyte","33.hg19","BAMs/PB1022_Monocyte_33.hg19_rCRSchrm.bam",88230
"PB1022_Monocyte_36.hg19","PB1022_Monocyte_36.hg19","PB1022","Monocyte","36.hg19","BAMs/PB1022_Monocyte_36.hg19_rCRSchrm.bam",33321
"PB1022_Monocyte_37.hg19","PB1022_Monocyte_37.hg19","PB1022","Monocyte","37.hg19","BAMs/PB1022_Monocyte_37.hg19_rCRSchrm.bam",61386
"PB1022_Monocyte_38.hg19","PB1022_Monocyte_38.hg19","PB1022","Monocyte","38.hg19","BAMs/PB1022_Monocyte_38.hg19_rCRSchrm.bam",53065
"PB1022_Monocyte_39.hg19","PB1022_Monocyte_39.hg19","PB1022","Monocyte","39.hg19","BAMs/PB1022_Monocyte_39.hg19_rCRSchrm.bam",61107
"PB1022_Monocyte_3.hg19","PB1022_Monocyte_3.hg19","PB1022","Monocyte","3.hg19","BAMs/PB1022_Monocyte_3.hg19_rCRSchrm.bam",50070
"PB1022_Monocyte_42.hg19","PB1022_Monocyte_42.hg19","PB1022","Monocyte","42.hg19","BAMs/PB1022_Monocyte_42.hg19_rCRSchrm.bam",128086
"PB1022_Monocyte_45.hg19","PB1022_Monocyte_45.hg19","PB1022","Monocyte","45.hg19","BAMs/PB1022_Monocyte_45.hg19_rCRSchrm.bam",87704
"PB1022_Monocyte_46.hg19","PB1022_Monocyte_46.hg19","PB1022","Monocyte","46.hg19","BAMs/PB1022_Monocyte_46.hg19_rCRSchrm.bam",13569
"PB1022_Monocyte_48.hg19","PB1022_Monocyte_48.hg19","PB1022","Monocyte","48.hg19","BAMs/PB1022_Monocyte_48.hg19_rCRSchrm.bam",12251
"PB1022_Monocyte_4.hg19","PB1022_Monocyte_4.hg19","PB1022","Monocyte","4.hg19","BAMs/PB1022_Monocyte_4.hg19_rCRSchrm.bam",116513
"PB1022_Monocyte_50.hg19","PB1022_Monocyte_50.hg19","PB1022","Monocyte","50.hg19","BAMs/PB1022_Monocyte_50.hg19_rCRSchrm.bam",17285
"PB1022_Monocyte_51.hg19","PB1022_Monocyte_51.hg19","PB1022","Monocyte","51.hg19","BAMs/PB1022_Monocyte_51.hg19_rCRSchrm.bam",21734
"PB1022_Monocyte_52.hg19","PB1022_Monocyte_52.hg19","PB1022","Monocyte","52.hg19","BAMs/PB1022_Monocyte_52.hg19_rCRSchrm.bam",21044
"PB1022_Monocyte_53.hg19","PB1022_Monocyte_53.hg19","PB1022","Monocyte","53.hg19","BAMs/PB1022_Monocyte_53.hg19_rCRSchrm.bam",10579
"PB1022_Monocyte_54.hg19","PB1022_Monocyte_54.hg19","PB1022","Monocyte","54.hg19","BAMs/PB1022_Monocyte_54.hg19_rCRSchrm.bam",27738
"PB1022_Monocyte_55.hg19","PB1022_Monocyte_55.hg19","PB1022","Monocyte","55.hg19","BAMs/PB1022_Monocyte_55.hg19_rCRSchrm.bam",53046
"PB1022_Monocyte_59.hg19","PB1022_Monocyte_59.hg19","PB1022","Monocyte","59.hg19","BAMs/PB1022_Monocyte_59.hg19_rCRSchrm.bam",38582
"PB1022_Monocyte_5.hg19","PB1022_Monocyte_5.hg19","PB1022","Monocyte","5.hg19","BAMs/PB1022_Monocyte_5.hg19_rCRSchrm.bam",14166
"PB1022_Monocyte_61.hg19","PB1022_Monocyte_61.hg19","PB1022","Monocyte","61.hg19","BAMs/PB1022_Monocyte_61.hg19_rCRSchrm.bam",51195
"PB1022_Monocyte_64.hg19","PB1022_Monocyte_64.hg19","PB1022","Monocyte","64.hg19","BAMs/PB1022_Monocyte_64.hg19_rCRSchrm.bam",11442
"PB1022_Monocyte_66.hg19","PB1022_Monocyte_66.hg19","PB1022","Monocyte","66.hg19","BAMs/PB1022_Monocyte_66.hg19_rCRSchrm.bam",17831
"PB1022_Monocyte_67.hg19","PB1022_Monocyte_67.hg19","PB1022","Monocyte","67.hg19","BAMs/PB1022_Monocyte_67.hg19_rCRSchrm.bam",230869
