"subject" "BAM"
"PB1022_Monocyte_82" "PB1022" "SRR3986202.hg19_rCRSchrm.bam"
"PB1022_Monocyte_83" "PB1022" "SRR3986203.hg19_rCRSchrm.bam"
"PB1022_Monocyte_85" "PB1022" "SRR3986205.hg19_rCRSchrm.bam"
"PB1022_Monocyte_86" "PB1022" "SRR3986206.hg19_rCRSchrm.bam"
"PB1022_Monocyte_87" "PB1022" "SRR3986207.hg19_rCRSchrm.bam"
"PB1022_Monocyte_88" "PB1022" "SRR3986208.hg19_rCRSchrm.bam"
"PB1022_Monocyte_90" "PB1022" "SRR3986210.hg19_rCRSchrm.bam"
"PB1022_Monocyte_91" "PB1022" "SRR3986211.hg19_rCRSchrm.bam"
"PB1022_Monocyte_92" "PB1022" "SRR3986212.hg19_rCRSchrm.bam"
"PB1022_Monocyte_95" "PB1022" "SRR3986215.hg19_rCRSchrm.bam"
"PB1022_Monocyte_96" "PB1022" "SRR3986216.hg19_rCRSchrm.bam"
